Site	Farm	CN_1cm	NH4_Inv	IntO2
S1	0.38	8.36	18.65	0.01189658
S1	0.38	8.36	18.65	0.01189658
S1	0.38	8.36	18.65	0.01189658
S1	0.38	8.36	18.65	0.01189658
S1	0.38	8.36	18.65	0.01189658
S2	0.79	8.65	5.33	0.011944
S2	0.79	8.65	5.33	0.011944
S2	0.79	8.65	5.33	0.011944
S2	0.79	8.65	5.33	0.011944
S2	0.79	8.65	5.33	0.011944
S3	0.47	8.37	4.48	0.015636
S3	0.47	8.37	4.48	0.015636
S3	0.47	8.37	4.48	0.015636
S3	0.47	8.37	4.48	0.015636
S3	0.47	8.37	4.48	0.015636
S4	0.94	8.14	1.3	0.003465
S4	0.94	8.14	1.3	0.003465
S4	0.94	8.14	1.3	0.003465
S4	0.94	8.14	1.3	0.003465
S4	0.94	8.14	1.3	0.003465
S5	1.2	8.34	1.86	0.00554
S5	1.2	8.34	1.86	0.00554
S5	1.2	8.34	1.86	0.00554
S5	1.2	8.34	1.86	0.00554
S5	1.2	8.34	1.86	0.00554
S6	2.48	8.33	1.79	0.004943
S6	2.48	8.33	1.79	0.004943
S6	2.48	8.33	1.79	0.004943
S6	2.48	8.33	1.79	0.004943
S6	2.48	8.33	1.79	0.004943

