Temp_BW	O2_BW	C_1cm	NOX_BW	P_BW
10.14	80.1	4.92	14.3	42.34
10.14	80.1	4.92	14.3	42.34
10.14	80.1	4.92	14.3	42.34
10.14	80.1	4.92	14.3	42.34
10.14	80.1	4.92	14.3	42.34
14.36	163.3	4.11	6.4	6.29
14.36	163.3	4.11	6.4	6.29
14.36	163.3	4.11	6.4	6.29
14.36	163.3	4.11	6.4	6.29
14.36	163.3	4.11	6.4	6.29
14.41	133.2	4.11	6.8	4.1
14.41	133.2	4.11	6.8	4.1
14.41	133.2	4.11	6.8	4.1
14.41	133.2	4.11	6.8	4.1
14.41	133.2	4.11	6.8	4.1
15.22	173.1	1.16	10.1	3.17
15.22	173.1	1.16	10.1	3.17
15.22	173.1	1.16	10.1	3.17
15.22	173.1	1.16	10.1	3.17
15.22	173.1	1.16	10.1	3.17
14.72	184.2	2.93	3.4	2.33
14.72	184.2	2.93	3.4	2.33
14.72	184.2	2.93	3.4	2.33
14.72	184.2	2.93	3.4	2.33
14.72	184.2	2.93	3.4	2.33
12.95	151.9	3.22	6.2	3.72
12.95	151.9	3.22	6.2	3.72
12.95	151.9	3.22	6.2	3.72
12.95	151.9	3.22	6.2	3.72
12.95	151.9	3.22	6.2	3.72

