O2_BW	C_1cm	NOX_BW	P_BW
80.1	4.92	14.3	42.34
80.1	4.92	14.3	42.34
80.1	4.92	14.3	42.34
80.1	4.92	14.3	42.34
80.1	4.92	14.3	42.34
163.3	4.11	6.4	6.29
163.3	4.11	6.4	6.29
163.3	4.11	6.4	6.29
163.3	4.11	6.4	6.29
163.3	4.11	6.4	6.29
133.2	4.11	6.8	4.1
133.2	4.11	6.8	4.1
133.2	4.11	6.8	4.1
133.2	4.11	6.8	4.1
133.2	4.11	6.8	4.1
173.1	1.16	10.1	3.17
173.1	1.16	10.1	3.17
173.1	1.16	10.1	3.17
173.1	1.16	10.1	3.17
173.1	1.16	10.1	3.17
184.2	2.93	3.4	2.33
184.2	2.93	3.4	2.33
184.2	2.93	3.4	2.33
184.2	2.93	3.4	2.33
184.2	2.93	3.4	2.33
151.9	3.22	6.2	3.72
151.9	3.22	6.2	3.72
151.9	3.22	6.2	3.72
151.9	3.22	6.2	3.72
151.9	3.22	6.2	3.72

