Farm	CN_1cm	NH4_Inv	HS_Inv	IntO2
0.38	8.36	18.65	6.7	0.01189658
0.38	8.36	18.65	6.7	0.01189658
0.38	8.36	18.65	6.7	0.01189658
0.38	8.36	18.65	6.7	0.01189658
0.38	8.36	18.65	6.7	0.01189658
0.79	8.65	5.33	0.5	0.011944
0.79	8.65	5.33	0.5	0.011944
0.79	8.65	5.33	0.5	0.011944
0.79	8.65	5.33	0.5	0.011944
0.79	8.65	5.33	0.5	0.011944
0.47	8.37	4.48	0.8	0.015636
0.47	8.37	4.48	0.8	0.015636
0.47	8.37	4.48	0.8	0.015636
0.47	8.37	4.48	0.8	0.015636
0.47	8.37	4.48	0.8	0.015636
0.94	8.14	1.3	0	0.003465
0.94	8.14	1.3	0	0.003465
0.94	8.14	1.3	0	0.003465
0.94	8.14	1.3	0	0.003465
0.94	8.14	1.3	0	0.003465
1.2	8.34	1.86	0.5	0.00554
1.2	8.34	1.86	0.5	0.00554
1.2	8.34	1.86	0.5	0.00554
1.2	8.34	1.86	0.5	0.00554
1.2	8.34	1.86	0.5	0.00554
2.48	8.33	1.79	0.7	0.004943
2.48	8.33	1.79	0.7	0.004943
2.48	8.33	1.79	0.7	0.004943
2.48	8.33	1.79	0.7	0.004943
2.48	8.33	1.79	0.7	0.004943

