Site	O2_BW	C_1cm	NOX_BW	P_BW
S1	80.1	4.92	14.3	42.34
S1	80.1	4.92	14.3	42.34
S1	80.1	4.92	14.3	42.34
S1	80.1	4.92	14.3	42.34
S2	163.3	4.11	6.4	6.29
S2	163.3	4.11	6.4	6.29
S2	163.3	4.11	6.4	6.29
S2	163.3	4.11	6.4	6.29
S3	133.2	4.11	6.8	4.1
S3	133.2	4.11	6.8	4.1
S3	133.2	4.11	6.8	4.1
S3	133.2	4.11	6.8	4.1
S4	173.1	1.16	10.1	3.17
S4	173.1	1.16	10.1	3.17
S4	173.1	1.16	10.1	3.17
S4	173.1	1.16	10.1	3.17
S5	184.2	2.93	3.4	2.33
S5	184.2	2.93	3.4	2.33
S5	184.2	2.93	3.4	2.33
S5	184.2	2.93	3.4	2.33
S6	151.9	3.22	6.2	3.72
S6	151.9	3.22	6.2	3.72
S6	151.9	3.22	6.2	3.72
S6	151.9	3.22	6.2	3.72

