"","Observed","Chao1","se.chao1","Shannon","Replicate","Site"
"A022",15,43,21.3116411032006,1.46358976922546,"Rep_1","S1"
"A024",15,18.3333333333333,4.10441715467294,1.26378694839127,"Rep_2","S1"
"A025",22,23.6666666666667,2.20104344455692,1.30563779869088,"Rep_3","S1"
"A026",19,26,6.63488015079282,1.62794062086217,"Rep_4","S1"
"A028",23,30.5,8.12611909064898,1.37342184739155,"Rep_1","S2"
"A029",17,20,4.55384452962549,0.75091215741069,"Rep_2","S2"
"A030",21,21.25,0.733739164665963,0.695413502786567,"Rep_3","S2"
"A031",22,36,13.1624465810882,1.03470072238775,"Rep_4","S2"
"A032",27,30.75,4.19974547355943,1.02920469578434,"Rep_1","S3"
"A034",29,30.5,2.22694241977282,1.25776130166141,"Rep_2","S3"
"A035",25,26.2,1.83705373144439,1.00719847509859,"Rep_3","S3"
"A036",23,23,0.0978019293843651,1.19454453475925,"Rep_4","S3"
"A038",25,25.25,0.734235095689776,1.82502083164303,"Rep_1","S4"
"A039",27,27.25,0.734428372548113,1.82829604069829,"Rep_2","S4"
"A040",28,28.3333333333333,0.757841814155712,2.25288449887228,"Rep_3","S4"
"A041",27,27,0,2.12635992897886,"Rep_4","S4"
"A043",33,38,5.52585628833199,2.19868826910263,"Rep_1","S5"
"A044",32,32.3333333333333,0.922992681104533,2.21940621925299,"Rep_2","S5"
"A045",28,28.25,0.734514732046213,1.94716722488666,"Rep_3","S5"
"A046",29,39.5,10.5242336381746,1.56333186029281,"Rep_4","S5"
"A047",27,37,10.3453867509643,2.05649130612004,"Rep_1","S6"
"A048",29,44,13.7526856881252,2.15100938001853,"Rep_2","S6"
"A049",25,26.5,2.58168439969386,1.68052000778962,"Rep_3","S6"
"A051",25,35,10.3337173507753,0.881198371729794,"Rep_4","S6"
