"","Observed","Chao1","se.chao1","Shannon","Replicate","Site"
"A022",5267,7485.30327868853,134.493630250286,6.68474114423802,"Rep_1","S1"
"A023",5598,7565.39539748954,118.307977441688,6.65814650953953,"Rep_2","S1"
"A024",5626,7706.47021943574,123.600123126014,6.48407766425831,"Rep_3","S1"
"A025",5330,7246.69863013699,118.856731970639,6.73947519347838,"Rep_4","S1"
"A026",4729,6702.24565756824,124.632676539969,6.42354574961111,"Rep_5","S1"
"A027",6856,9283.12428919578,129.80825055891,7.0015142257973,"Rep_1","S2"
"A028",6588,8873.23670668954,125.741834562191,6.97563824684183,"Rep_2","S2"
"A029",6261,8686.20860018298,134.244245455782,7.01014966683068,"Rep_3","S2"
"A030",6049,8821.78620689655,152.660442285415,6.96462635081496,"Rep_4","S2"
"A031",7415,9902.44897959184,129.652154525712,7.22307132187908,"Rep_5","S2"
"A032",6792,9451.89148580968,140.616690272737,7.14175470001489,"Rep_1","S3"
"A033",6810,9351.69072164948,136.792654216515,7.16464529467468,"Rep_2","S3"
"A034",7235,9736.21664050235,131.61497616721,7.03744701711167,"Rep_3","S3"
"A035",6625,9190.15517241379,137.927657980973,7.04867612464511,"Rep_4","S3"
"A036",7135,9592.61514195584,129.986332276662,7.02084539593029,"Rep_5","S3"
"A037",6542,8396.81045172719,107.820624713785,7.11382315902605,"Rep_1","S4"
"A038",6527,8446.10196779964,111.012466152872,7.15830161010293,"Rep_2","S4"
"A039",6288,8189.19875222816,110.097319342301,7.0780709833356,"Rep_3","S4"
"A040",6156,8185.48482060718,116.878144100929,7.11088307169417,"Rep_4","S4"
"A041",7128,8983.41875505255,105.189797267637,7.18595246154939,"Rep_5","S4"
"A042",5821,8113.68695652174,130.461072880389,6.80764246272688,"Rep_1","S5"
"A043",5639,8562.75,163.295913368968,6.88489444761094,"Rep_2","S5"
"A044",6299,8623.1945945946,129.23199842649,6.91507944458065,"Rep_3","S5"
"A045",6025,8396.59868421053,132.92734603524,6.85503327175168,"Rep_4","S5"
"A046",6368,8768.04928315412,132.340921837164,6.86909832258098,"Rep_5","S5"
"A047",3596,4594.90257352941,81.6093351722371,6.22092654947158,"Rep_1","S6"
"A048",4914,6716.96085409253,114.51809640627,6.34200119535892,"Rep_2","S6"
"A049",4316,6208.89430894309,123.76756832609,6.2201825020261,"Rep_3","S6"
"A050",3263,4188.09533898305,79.9968358187678,6.12732565989439,"Rep_4","S6"
"A051",4265,5983.34777070064,112.552043502788,6.34868406996799,"Rep_5","S6"
